Frame,Static 1,Static 2,Static 3,Static 4,Static 5,No Static 1,No Static 2,No Static 3,No Static 4,No Static 5
63,7.4534,5.5591,9.8461,5.55,5.5601,8.479,5.5654,5.5687,5.5583,8.6656
64,5.6041,8.2532,5.55,5.5669,5.5596,5.5643,11.0886,9.4393,5.5664,5.55
65,9.3116,5.5652,5.5603,9.5743,9.5696,5.55,5.563,5.5558,9.106,6.033
66,5.55,5.55,10.5461,5.5622,18.1579,8.0491,5.5658,5.5722,5.5653,9.061399
67,5.5775,9.2904,5.5579,5.5717,5.5559,5.55,11.0903,9.0464,5.5665,6.1331
68,8.4178,5.5678,5.5777,8.4469,8.0287,5.55,5.5716,5.5621,8.5218,5.576
69,5.5629,5.55,9.4712,5.5623,10.6525,9.1855,5.5558,5.8734,5.5713,10.0161
70,5.5652,8.4536,5.5584,5.5692,5.6005,5.5566,11.1086,9.4473,5.5644,5.9488
71,9.2067,5.5685,5.55,8.0427,9.7372,5.5681,5.5649,5.9626,9.272799,8.744
72,5.5612,5.573,9.6045,5.5849,5.5597,8.252601,11.1053,6.5526,5.5641,5.8132
73,5.5653,8.7114,5.5716,5.55,5.55,5.5743,5.5719,9.5656,5.7847,5.5691
74,9.1873,5.5648,10.1488,5.5585,10.0966,5.55,5.55,7.225,8.388,9.7931
75,5.6215,5.5573,5.5622,7.434,5.5702,8.3363,11.1151,7.7102,5.5676,5.5618
76,5.799,8.585199,5.5582,5.911,5.5615,5.6415,5.5647,5.5692,5.5686,5.55
77,9.950101,5.5565,9.250899,5.5957,8.3809,5.8581,5.55,5.55,7.9152,8.5005
78,5.55,5.5642,6.1888,9.7344,5.5582,9.4672,16.6565,8.0932,5.5646,5.5606
79,5.55,5.55,5.5638,5.5602,5.5708,5.5616,5.55,5.5688,5.55,5.5583
80,8.5637,8.988001,9.3026,5.5632,9.5468,5.55,5.55,5.5634,8.002,8.2928
81,5.5669,5.5592,5.5627,8.4639,5.5641,8.7806,5.55,9.4336,5.5646,5.5576
82,5.5614,5.5726,5.5655,5.666,5.57,5.5605,5.5651,5.5586,5.558,5.5669
83,8.0021,9.7806,9.3935,5.5761,8.3845,5.5653,11.1104,5.5685,6.2602,8.6517
84,5.5599,5.56,5.5573,9.566,5.9334,8.968699,5.55,8.2045,8.419,5.5615
85,5.5591,9.894199,5.5578,6.0939,5.6378,5.8538,5.5601,5.5593,6.3911,5.5743
86,8.2797,5.5669,9.769899,9.1695,9.3231,5.5818,5.561,5.5566,8.916,8.5733
87,5.5607,6.0163,5.55,5.55,5.9952,10.006,5.55,8.907,5.5616,5.5604
88,5.5573,9.640901,5.5736,5.5737,5.5627,5.5626,11.0898,5.5594,5.55,5.8454
89,8.859099,6.365,16.2585,9.1623,10.6076,5.6769,5.55,5.5627,8.9381,9.0191
90,5.5619,6.4311,5.5867,5.55,5.7661,9.0212,5.55,8.9659,5.5649,5.5708
91,5.5664,9.8237,9.0258,5.5714,5.5856,5.5671,5.55,5.5629,6.0277,5.55
92,8.3534,5.6707,5.5655,9.385099,9.8026,5.5584,11.1469,5.5586,8.535,9.5277
93,5.5713,10.335,10.452,5.5608,5.5829,8.7343,5.5656,8.4915,5.5661,5.5563
94,5.55,5.5663,5.5771,5.55,10.4635,5.5623,11.117,5.5714,5.55,5.55
95,8.511001,6.2198,5.8075,8.558001,6.0974,5.5569,5.5619,5.55,9.2356,9.4204
96,6.0186,9.0639,9.7279,5.5572,5.5856,7.9342,5.55,5.5599,5.5617,5.5665
97,5.5776,5.5605,5.5593,5.5692,9.3442,5.7282,5.55,8.0875,5.5589,5.55
98,10.0319,5.5763,5.55,8.8056,5.5661,5.5599,11.0869,5.5648,9.1026,20.0524
99,5.5683,9.9229,9.905001,5.5665,5.6571,15.9463,5.55,5.8727,5.5676,5.5806
100,5.5632,5.5964,6.1897,5.55,9.1136,5.5889,5.5674,8.582299,6.651,9.151
101,9.4771,5.5745,5.5791,9.458,5.5673,7.5009,5.55,5.5682,8.331901,6.0856
102,5.5614,16.7599,9.8938,5.7273,6.2546,5.563,5.55,5.55,5.5619,9.5315
103,5.568,5.5896,5.5711,6.6074,8.5492,5.55,11.1128,9.7506,5.5913,5.5558
104,8.4715,8.3299,10.0134,7.9843,5.55,9.432099,5.5843,5.5618,8.6302,5.5628
105,5.5616,5.8022,5.5564,5.5661,5.5788,5.561,11.1331,5.8444,5.5569,8.9163
106,5.55,5.7365,5.7011,5.5644,9.416401,5.5599,5.55,8.9694,5.5716,5.5645
107,9.6026,10.2075,9.6075,8.7964,5.5595,9.092999,5.55,6.3172,8.3023,5.5562
108,5.9006,5.5681,5.9927,5.5672,5.5604,5.5649,5.55,9.1634,5.5665,8.563101
109,5.8892,10.2433,5.575,5.5635,8.6108,5.5582,11.1137,5.5566,5.55,5.5654
110,9.6731,5.5648,9.4648,8.7465,5.5609,9.3601,5.55,5.5631,8.5892,5.5639
111,5.5701,5.5586,5.5659,5.9366,6.3179,5.55,5.55,9.5162,5.5659,9.108601
112,9.587399,9.3434,5.5639,5.5776,8.3468,5.5896,5.55,5.5649,5.559,5.5684
113,5.55,5.5664,9.2148,9.2805,5.5695,8.9223,11.1091,5.5622,9.0255,5.5583
114,5.5816,5.55,5.55,5.557,5.5567,5.5703,5.55,9.1885,5.8451,8.406899
115,9.421801,17.0784,5.5696,5.55,16.3544,5.55,5.5674,5.5711,5.5726,5.55
116,5.9291,5.5567,17.5548,8.4256,5.5632,9.221601,5.55,5.55,10.1884,5.5792
117,5.5714,17.0707,5.8274,5.5624,17.0209,5.8456,16.6419,9.8824,5.5645,9.3823
118,16.753,5.6098,17.241,5.5794,5.6004,5.6366,5.55,6.3012,5.5853,5.5652
119,5.568,9.693601,5.5923,9.231,8.806601,9.6486,11.1207,5.6941,8.1811,5.561
120,17.0051,5.5689,8.3981,5.55,5.569,5.5611,5.55,17.2651,5.5661,17.3623
121,5.5791,9.872299,5.5691,5.5621,9.9768,16.6933,11.1307,5.5617,5.5566,5.5609
122,7.7621,5.5653,9.8481,17.8331,5.5664,5.5669,5.5933,17.4768,16.1695,16.9674
