Frame,Static 1,Static 2,Static 3,Static 4,Static 5,No Static 1,No Static 2,No Static 3,No Static 4,No Static 5
637,5.5632,10.1754,5.5621,9.600801,5.55,5.55,8.7414,8.8778,5.5592,10.6696
638,5.559,5.5591,5.5661,5.5594,5.5682,5.5708,5.5591,5.5656,9.4424,5.563
639,9.256,5.786,9.3222,5.5613,9.955501,10.4908,5.6039,5.956,5.55,5.55
640,5.5581,9.098599,5.5565,9.7088,5.55,5.5569,9.1973,8.913699,5.7542,9.2867
641,5.5602,17.5687,7.3301,6.7859,5.5713,5.5641,6.2503,5.9909,10.0251,6.0112
642,10.1188,5.561,9.5992,8.7444,9.6201,8.900101,8.2909,6.008,5.55,7.2991
643,5.5607,9.619801,6.0565,5.5581,5.56,5.55,5.5599,10.3129,6.5954,21.5305
644,5.5815,10.3953,7.4907,5.5714,5.5772,5.5699,17.9958,5.5687,8.2318,5.557
645,9.4115,5.5629,9.167601,9.513599,10.1008,10.6585,5.55,9.6881,5.5672,9.6381
646,5.5645,10.2001,5.5667,5.5653,7.2368,5.5617,5.5875,5.5594,10.0472,6.7083
647,9.7483,5.5576,10.398,5.55,9.1093,10.3726,8.2012,5.6554,5.5592,9.9471
648,5.55,5.9241,5.5629,10.1185,5.55,5.55,5.5634,8.8913,5.9978,5.5588
649,5.5609,18.0662,5.55,5.55,5.6052,5.8143,5.5952,5.5719,8.636,10.3133
650,10.7377,5.5676,17.2063,6.2158,9.7032,9.7659,8.6874,5.55,5.55,5.9545
651,5.5727,11.6653,5.5619,9.9053,5.5678,5.5644,5.5675,9.4037,5.5839,10.5228
652,5.9257,5.5627,17.18,5.859,5.5629,6.1615,5.5621,5.5561,9.4827,5.55
653,10.8719,11.1755,5.5605,5.5623,9.5234,8.7866,8.7982,5.5598,5.5594,5.5712
654,5.6505,5.5594,9.5785,10.2184,5.5569,5.561,5.5588,10.6275,5.5563,11.4299
655,5.5948,10.432,5.952,6.4947,5.6909,5.5603,6.3431,5.55,9.5007,5.5584
656,9.801801,5.55,10.248,9.2669,10.0175,21.8699,8.4937,6.1392,5.55,10.3962
657,5.6216,5.5696,5.5575,5.5577,5.55,5.5757,5.5663,9.775,7.1402,5.5593
658,9.4615,9.297,10.5168,5.5578,5.5584,9.5616,5.7704,5.55,8.642,5.5575
659,6.1357,5.5565,5.5646,9.2557,16.3374,5.5662,8.722401,6.0739,5.5589,17.1302
660,5.5626,5.588,5.55,5.55,5.5852,9.7598,5.5592,9.4267,5.5664,5.5691
661,9.526999,10.4236,9.9107,6.3294,17.1196,6.4459,5.5726,6.2041,9.9694,17.1239
662,6.0835,5.5572,5.5616,9.042601,5.5725,9.1964,9.2924,17.1007,5.6157,5.5615
663,5.5798,5.5786,5.5563,5.8486,9.4578,5.5582,5.5639,5.5797,6.1954,8.854099
664,11.1804,9.834,11.5552,6.6722,5.563,5.5611,5.5873,16.9066,9.3325,5.5662
665,5.55,5.5711,5.875,8.9448,10.267,9.2153,9.1343,5.572,5.5658,10.2951
666,5.5592,10.6155,10.136,5.55,5.5694,5.5617,5.5576,9.2909,10.6649,5.5636
667,16.8725,5.8781,6.8501,5.5773,10.8881,5.5599,5.5696,6.4745,5.6257,5.8426
668,5.5662,6.0745,5.6405,8.9133,5.9122,9.6676,9.300099,9.0745,6.1718,10.7601
669,11.5982,17.0505,10.6882,5.5673,6.1149,5.8207,5.5598,5.5572,9.6547,5.55
670,5.5651,5.5717,5.7183,5.7907,9.5213,5.5904,5.55,5.5673,5.55,5.5617
671,10.2714,10.0527,7.584,9.4838,5.55,9.408299,16.2154,10.1051,5.5673,10.0616
672,6.3307,5.5616,9.258801,5.5629,5.55,5.55,5.5928,5.5586,8.6977,5.5654
673,9.5645,10.7337,5.5636,9.9113,9.5742,5.5705,21.5904,5.565,5.55,11.184
674,5.5602,5.55,16.9287,5.55,5.561,16.2642,5.5792,23.4372,5.5697,5.559
675,5.5776,5.5754,5.5647,6.3538,6.2897,5.573,8.1551,5.565,9.8662,5.5669
676,9.2677,9.9543,9.2434,9.098,9.264299,17.1482,6.1992,8.9523,5.5595,9.5063
677,5.5613,5.55,5.55,5.5557,5.5596,5.565,9.6594,6.3837,5.55,5.5563
678,5.55,5.5703,6.0115,5.5594,10.5748,9.3756,5.5568,9.2464,16.3096,5.5556
679,8.931101,10.6176,9.625401,8.7137,5.55,5.6582,10.173,5.7401,5.6008,10.2182
680,5.7146,5.55,5.8846,5.5602,6.2187,10.1617,5.5563,10.8393,11.2546,5.5611
681,5.7185,5.5597,11.8435,5.55,9.7421,6.3423,6.8112,5.55,5.9897,5.5582
682,10.5904,10.2993,5.55,16.6607,5.8889,9.3497,10.5221,5.5582,9.8341,9.0258
683,5.55,5.5664,5.5686,5.5668,6.2053,5.5612,5.5638,10.2194,6.2077,5.55
684,5.562,10.0314,10.0929,17.0555,9.5833,5.5581,9.9441,6.7182,5.5607,6.0639
685,16.3677,5.5619,6.3376,5.5786,6.1009,9.5871,5.5654,10.4392,10.0897,10.4241
686,5.5633,5.55,5.5687,9.1965,6.2367,5.55,5.5838,5.7068,6.0261,7.1072
687,9.343699,10.121,10.9857,5.5615,9.958899,5.5803,9.0103,5.5633,10.8235,9.1514
688,5.5665,6.3598,5.5601,10.2527,6.6151,10.225,5.5563,9.9747,5.55,5.55
689,11.154,7.1986,10.4983,5.5637,10.1743,5.5557,5.5768,5.9588,5.5605,7.1501
690,5.55,10.7545,5.5558,5.5661,5.795,5.5997,9.0891,5.6303,9.5863,9.178301
691,5.576,5.55,5.6985,9.691401,6.2411,9.7458,6.3392,10.5371,5.55,5.5589
692,10.0244,10.4457,8.9788,5.55,10.288,5.5676,5.5869,5.8208,5.5625,5.5562
693,5.5558,5.55,5.55,5.5794,7.3262,5.55,10.2718,10.7269,9.5915,10.1738
694,5.5695,5.5614,5.5655,9.687201,9.7239,8.986099,5.55,5.5606,5.55,6.4611
695,9.692699,8.7169,9.9362,5.5587,5.7544,5.5607,5.586,5.5559,6.0365,9.8137
696,5.5805,5.561,5.5593,5.5654,5.971,5.9051,10.3416,9.0965,9.0915,5.55
697,10.0926,5.55,10.8375,9.283299,9.98,9.093301,5.5597,5.55,5.5603,6.8528
698,6.386,9.456699,5.8243,5.5609,6.159,5.5634,10.8156,5.9896,9.742001,9.1696
699,5.5713,5.7549,5.5637,5.5569,6.1828,5.7776,6.369,9.8668,5.557,5.8782
700,9.8116,5.9204,10.7839,8.8684,9.7695,9.8401,5.5731,5.5599,5.6363,6.5185
701,6.0791,9.866899,5.55,5.55,6.2075,5.5753,10.5139,5.55,9.1073,9.4155
702,5.5654,5.5724,5.871,5.5746,10.0715,9.715899,6.6234,10.9082,5.55,5.55
703,10.1887,9.7115,9.916201,9.645,5.55,5.5591,9.1985,5.5671,5.55,10.4554
704,6.5461,6.0212,5.55,5.5606,5.5674,5.7874,5.5649,10.5518,10.725,5.55
705,5.5693,5.75,10.7691,10.43,9.849,8.720699,5.5794,5.55,5.5581,5.5703
706,10.3664,10.6435,5.55,6.7373,5.5714,5.5638,9.154699,5.5659,5.9556,9.573
707,6.4739,5.5615,5.8891,5.5612,6.4,5.55,5.5615,10.3849,9.8307,5.55
708,9.2779,5.5585,10.5012,9.4806,10.3044,8.7056,5.55,5.55,5.55,5.5795
709,5.696,9.864799,6.2637,5.8351,6.5657,5.607,9.4501,5.5676,6.7041,9.4182
710,5.5638,5.5937,5.683,5.7619,10.2011,7.1411,5.5615,10.55,9.4644,5.55
711,10.6291,6.0515,17.1726,10.4089,5.55,9.4114,5.5567,7.7349,5.55,5.826
712,5.5594,10.1534,5.5763,6.6697,5.6915,5.5558,9.3123,8.0713,10.7406,9.5225
713,5.558,5.5617,9.5083,8.8196,9.7839,5.5799,5.56,5.55,5.656,6.0169
714,8.4775,10.5283,5.5678,5.5638,5.55,9.681001,5.5617,6.5184,6.4051,5.55
715,5.5638,5.55,17.1698,5.55,5.7453,5.6102,9.1868,9.804399,9.7943,10.4648
716,5.6573,5.5702,5.5674,9.7327,9.4058,7.317,5.55,5.55,5.55,5.55
717,8.847,9.8797,9.270801,5.55,5.55,9.052,6.2097,5.641,5.6061,10.2124
718,5.55,5.5683,5.5962,5.5673,10.2925,6.5286,9.4029,10.0306,10.1381,5.55
719,5.5888,5.55,10.4395,10.3772,6.5289,9.959599,5.55,5.55,6.3934,6.2946
720,9.4606,9.444201,5.55,5.9329,6.5851,5.55,5.5776,6.3193,10.2386,10.2005
721,5.572,6.659,5.7583,6.5229,9.921801,5.5624,9.9516,9.7922,5.5857,5.5556
722,9.1601,5.651,10.1366,9.1682,5.55,9.621201,5.5626,5.5585,5.8108,5.55
723,5.5582,11.0066,5.55,5.55,5.55,5.8616,5.9345,10.3283,9.958099,11.3694
724,6.0938,5.5599,5.55,5.5646,9.8846,5.5638,9.7437,5.55,5.8333,5.5783
725,9.548201,17.0724,10.7259,9.870501,5.55,10.6439,5.5834,6.075,5.8374,16.7276
726,6.6478,5.5798,5.55,5.5693,5.7983,5.5667,10.8571,8.783799,23.0955,5.55
727,5.5703,9.898601,5.5726,9.1127,10.3111,9.7641,5.55,5.55,5.5708,9.3313
728,9.9523,5.5827,11.3166,5.5578,5.5727,5.5715,5.5778,5.55,8.870399,5.5604
729,5.5637,10.5331,5.55,5.5766,11.2394,5.55,10.4236,10.1873,10.8546,5.5672
730,5.5582,5.5783,11.198,9.5892,6.7493,9.131801,6.2771,5.55,9.0012,10.0879
731,9.2675,5.5582,5.584,5.5619,6.5611,5.5602,5.592,5.56,5.561,5.9671
732,5.5607,10.188,5.6774,5.5722,9.3616,5.5606,9.2146,9.974,10.0158,6.6473
733,5.876,6.5459,9.1744,9.3261,5.55,9.8786,6.4854,5.55,5.5637,9.819
734,10.2001,5.7736,5.5601,5.557,16.77,5.5593,9.8662,6.1625,10.7601,5.5576
735,6.6666,10.6256,5.5608,5.559,5.561,5.6628,5.55,9.955501,5.8848,9.9601
736,8.953199,5.5737,10.5893,9.3013,9.5307,9.5623,5.5773,5.5606,6.774,5.55
737,5.9668,10.1047,5.5575,5.6233,5.85,5.5634,9.3735,16.8473,9.1448,6.0804
738,5.5624,5.5592,10.4118,6.3194,5.5774,5.5626,5.55,5.5691,5.5631,9.636101
739,10.7737,5.5823,6.4271,9.913,10.6087,9.1453,6.0927,9.900701,9.9494,5.55
740,5.55,9.485701,6.0756,5.5617,18.6817,5.5585,9.5533,6.0268,5.55,5.5691
741,5.5619,5.7321,10.8681,5.55,5.55,5.9759,5.5618,5.5722,6.1398,9.7902
742,11.2448,5.7529,5.5788,8.759001,5.5636,10.4528,5.5649,10.6138,10.0578,5.55
743,5.5571,11.3611,9.5112,5.5591,8.9234,6.9447,9.4531,5.576,5.55,5.5827
744,9.9782,6.4674,5.5768,5.5612,5.564,9.1786,6.178,10.76,6.9766,9.489901
745,5.55,6.1626,5.5611,9.6144,6.313,5.55,5.5723,5.5673,8.658501,5.5662
746,5.5561,10.4786,9.8087,5.7207,9.9654,5.5745,10.5009,5.5717,5.55,16.8444
747,22.2918,6.1324,5.7513,19.5106,5.5829,10.9788,5.5695,9.5063,5.6143,5.5568
748,5.5802,9.324,5.8485,5.5612,10.4337,5.7824,10.1777,5.5587,10.0496,8.900901
749,8.7265,5.5648,11.5291,8.5928,5.5687,5.7604,5.7249,6.2648,6.3223,5.5675
750,8.0699,5.5823,5.5635,6.6899,5.5655,11.4292,5.5667,9.676,9.2685,5.5573
751,10.4895,10.6062,7.2342,5.5598,9.6208,5.5619,9.9558,6.2108,5.55,10.0268
752,6.1595,6.033,8.4334,10.4092,5.9613,10.191,5.5572,10.2315,5.5626,5.5766
753,10.1435,6.4796,5.5802,5.5696,6.6338,5.5611,5.5594,6.5046,9.682799,5.5624
754,5.5755,10.4097,10.9737,10.4819,9.7054,5.5643,9.2714,5.8527,5.55,9.572001
755,5.55,5.5709,5.8811,5.55,5.5831,9.297199,5.5692,10.6897,5.5702,5.5753
756,9.0138,10.5248,6.3137,5.573,10.3458,5.55,5.556,5.5729,9.3399,5.563
757,5.5758,6.0626,9.4232,9.4629,6.1967,5.5818,9.2705,5.7463,5.55,8.936501
758,5.55,6.7557,5.55,5.5702,6.7615,9.2337,5.5655,9.2175,5.55,5.5695
759,9.324699,9.6633,5.583,5.7383,10.116,5.5813,5.5656,6.4663,8.4896,5.5602
760,6.001,5.9386,9.2923,9.4443,5.8116,5.55,9.409801,10.9466,5.9628,9.7037
761,5.5618,10.987,5.5629,5.55,6.4608,8.9244,5.5637,5.6066,7.8195,5.5636
762,10.8217,5.5619,5.5658,6.3556,9.0885,5.559,5.5724,5.5752,9.2192,5.55
763,5.5705,7.0849,10.2992,9.5723,6.053,6.4728,9.3271,9.8363,6.1364,9.1524
764,10.3302,8.9319,5.5871,5.5852,11.0243,9.5942,5.7286,5.564,9.777201,6.8712
765,5.5641,5.55,10.4609,9.751699,5.5664,5.572,6.5063,5.8038,5.55,9.2407
766,5.5612,5.5717,5.568,5.5614,5.5565,5.5763,9.471,9.0912,6.1363,5.5757
767,8.8071,9.1865,5.7697,5.6336,10.0687,10.1301,5.5949,6.3117,9.7961,5.55
768,5.5779,5.5563,9.691299,10.3038,5.5557,5.5933,9.7456,5.7656,6.036,10.0112
769,5.5582,16.5744,5.5658,5.8023,5.5716,9.8983,5.57,10.3958,5.652,5.5744
770,8.5847,5.5687,6.0357,5.5712,10.4556,5.5723,5.7985,5.572,10.272,5.55
771,5.5803,9.3617,10.089,11.1961,7.5767,5.564,10.6181,10.6901,5.55,9.6638
772,5.55,5.5712,5.5683,6.5455,8.913899,9.6584,5.5646,6.3554,5.8679,5.5721
773,9.697,5.5622,5.561,9.5948,6.1176,5.5618,6.1614,5.8941,9.3487,5.55
774,5.5727,9.581901,9.0815,5.561,5.9267,6.1143,9.6483,10.0644,5.5771,21.8145
775,5.5588,5.5778,5.9095,5.5831,10.4102,9.946401,6.2525,5.5596,10.338,5.5641
776,9.784201,5.8592,5.5856,9.205999,5.5665,5.5796,10.2598,6.1999,5.5629,10.0115
777,5.8782,10.1184,16.4974,6.2036,5.5762,5.6142,5.5645,9.127999,5.5653,7.1911
778,5.5672,5.5686,5.5786,5.5754,11.3536,9.3525,5.55,5.5733,16.8555,11.0659
779,10.6882,5.9204,10.251,10.1962,5.7537,5.5777,9.107201,9.9905,5.55,6.615
780,5.5809,10.0321,5.5784,5.8345,10.1449,5.8856,5.5671,5.5819,8.655499,9.1145
781,9.9396,5.5818,10.6191,6.7727,5.55,9.183901,5.55,6.0812,5.55,7.0086
782,5.5622,10.6327,5.5718,10.5534,5.8619,5.5716,21.3784,9.176701,5.55,9.59
783,5.5652,5.5769,5.5802,6.5622,9.7152,5.5747,5.55,5.5788,9.6636,5.5598
784,9.089601,5.5628,10.2815,9.1394,5.5777,9.434601,8.998099,5.55,5.8893,5.8902
785,5.5768,8.705199,5.5652,5.576,5.8975,5.5883,7.5316,9.3974,6.2641,10.3666
786,5.5745,5.5627,10.4434,5.569,9.0678,10.731,10.3036,5.5917,10.2669,5.5771
787,9.3511,5.574,5.5632,9.7917,5.5658,5.568,5.5764,5.5648,7.34,5.5576
788,5.55,9.3519,5.5697,5.577,6.1966,5.5585,10.6865,9.745899,8.540299,8.6466
789,5.6026,5.5778,9.6921,6.1425,9.4207,10.0004,5.55,5.7311,5.5676,5.575
790,11.2151,5.8422,5.5611,8.771999,6.4599,5.5814,5.5718,6.4994,5.55,5.5611
791,5.8379,9.2393,5.5654,5.5788,10.0814,5.5586,9.767799,9.641701,9.647799,9.5132
792,5.5816,5.55,9.6628,5.8229,5.5607,9.700399,5.5602,6.1442,5.5703,5.5807
793,10.3087,5.569,5.8735,9.1581,5.9933,5.5604,5.5647,9.3842,5.5618,5.55
794,5.5822,10.1707,5.6556,5.5768,9.183,16.7106,9.610399,5.5685,10.0325,8.8922
795,9.295,5.5675,10.4768,5.5594,5.5626,5.5636,5.561,5.5919,5.5652,5.5627
796,5.5633,6.9978,5.5579,8.9508,5.5671,8.7135,5.5654,9.7568,5.561,5.7932
797,5.575,9.3914,10.1537,5.55,9.8255,5.5822,9.2208,6.4934,10.2558,9.4591
798,9.0745,6.4027,5.55,6.062,5.5863,5.5662,5.5932,5.7951,5.5648,5.5831
799,5.5722,10.2672,6.9544,10.2491,5.9822,9.7481,10.249,10.0374,9.6459,10.6044
800,5.5733,5.8064,8.6113,5.5669,9.5194,5.5787,5.5586,5.5625,5.5735,5.5731
801,8.779301,5.582,5.556,9.8919,5.5597,5.5591,5.8304,6.3916,5.5562,5.7062
802,5.5814,10.5244,5.8816,5.5612,5.55,9.1083,10.309,9.8435,8.919299,11.2824
803,5.563,5.5885,9.0729,5.5817,10.1217,5.5703,5.55,5.5684,5.5689,5.6568
804,8.8831,10.4511,5.561,10.1644,5.5683,5.5741,6.016,10.1072,5.5661,7.2656
805,5.709,5.5738,5.5766,5.5638,10.7293,8.860499,9.536201,5.7441,11.161,10.6955
806,7.1863,5.6559,22.0481,5.5594,5.55,5.5669,5.9409,6.9842,5.55,5.5642
807,9.1092,10.0319,5.5607,9.9268,6.3488,5.55,5.5706,22.7267,5.5682,10.2124
808,5.5824,5.5588,9.1512,5.5683,9.5098,10.3465,9.6574,5.5766,9.2842,5.5694
809,5.5596,5.5674,6.7503,5.571,5.5597,5.5767,5.5661,10.5749,5.5781,5.5718
810,8.7391,10.7615,11.9271,9.5906,6.411,5.5678,5.5582,8.655499,5.55,9.1275
811,5.5633,5.5632,6.2453,5.5787,9.206901,9.5098,9.100699,10.6597,9.8224,5.5754
812,6.9907,5.5652,9.8237,5.9843,5.5556,5.8025,6.1997,6.3834,5.5689,5.8926
813,8.9972,9.9697,5.5665,9.418301,10.1188,5.7127,9.6995,10.1955,5.5786,9.0197
814,6.207,5.7436,10.3314,6.5862,5.5592,16.4091,5.55,5.5652,9.4924,5.5631
815,6.2526,11.0298,5.6583,10.0824,5.55,5.591,5.5756,9.879601,5.5719,5.55
816,9.6832,5.5641,5.5761,5.5616,10.3088,9.8042,10.3081,5.601,9.6576,9.5535
817,5.6957,5.5724,10.2868,6.2196,6.3019,5.8804,5.5653,5.5689,5.5717,6.6031
818,10.5353,17.0373,5.5752,9.6363,7.8901,10.0608,5.6809,9.0825,5.6389,10.499
819,5.7401,5.5709,5.556,5.55,10.8025,5.5815,10.3028,5.5696,9.0799,5.5561
820,7.4191,10.0073,10.0168,5.5837,7.2103,5.5557,5.5582,10.1152,5.5572,5.5746
821,8.2248,5.566,5.5695,9.1745,9.1789,9.5424,6.5129,5.567,5.5854,9.6706
822,5.5686,10.4902,5.563,5.5796,5.5599,5.6822,8.522099,5.5667,9.3226,5.9638
823,5.5841,6.0813,10.3781,5.55,6.5122,5.5767,6.2756,9.7826,5.9453,5.5738
824,9.4367,5.5692,5.5675,9.327,9.3332,10.935,5.5735,5.7005,6.0425,10.9919
825,5.5698,10.4451,16.965,5.9353,6.6828,5.5789,9.7015,5.576,10.4891,5.5721
826,9.8953,5.5664,5.5811,6.0296,5.7635,10.0977,5.5673,10.0925,5.5703,11.0873
827,5.5766,6.4519,9.6598,9.9415,11.055,5.5658,10.0894,5.5625,5.5728,5.5588
828,5.55,9.3275,6.2879,5.9806,5.6056,5.5672,5.5639,5.5906,9.1217,5.6018
829,9.7108,5.5692,6.9341,10.2117,10.8339,9.1953,5.5908,9.9881,5.5814,10.1142
830,5.55,17.2609,8.844,5.5615,5.7843,5.5823,8.755501,5.8457,5.5571,5.5648
831,6.1516,5.5597,5.5607,5.5766,6.791,5.55,6.3797,5.5878,9.8927,5.9369
832,10.203,9.327701,11.1873,10.1967,10.0904,8.9473,5.5697,10.4958,5.5682,10.182
833,5.55,5.5633,5.6257,5.5677,5.988,5.5771,9.4487,6.8655,5.5591,6.5381
834,5.5712,5.5593,5.5736,5.5856,9.7322,5.5762,6.7474,9.2565,9.9713,10.2328
835,10.8152,10.3837,9.5011,9.9389,5.5716,9.4341,5.5733,5.5782,5.5769,6.0782
836,6.3059,6.0209,5.6181,5.5707,5.5739,5.5809,10.2901,5.56,10.7377,5.6384
837,9.978,6.5695,5.8089,9.8564,9.7239,5.5768,6.5664,9.7284,5.5704,10.2981
838,5.5593,9.712199,11.5909,5.9346,5.5827,9.4307,9.0755,5.569,5.5664,5.6172
839,5.5792,5.5739,6.3887,5.5746,5.5982,5.5771,5.5621,5.5829,9.2904,6.0708
840,10.6436,10.1458,8.9467,10.4513,10.0996,5.55,5.5628,9.657801,5.906,10.4725
841,5.5711,5.582,6.3838,5.6078,5.662,9.4745,9.8014,5.7983,5.9958,5.9926
842,6.1716,5.5634,5.5693,6.4594,16.603,5.581,5.5662,6.793,11.3634,10.0781
843,10.1263,9.649899,10.5964,9.7128,5.5758,5.55,5.9045,9.8631,5.5981,5.8142
844,5.5716,5.8051,5.5574,5.5729,9.4781,9.0798,9.2422,6.4798,9.4023,6.8121
845,16.6656,5.7994,5.5681,5.5576,5.568,5.5648,5.5657,9.162499,5.5712,9.5487
846,5.582,11.4358,17.1634,9.5881,5.5578,5.8126,5.5774,6.0984,5.6701,5.5615
847,8.513901,5.9939,5.569,5.5811,9.717299,9.8666,8.910501,5.5739,9.3169,5.5831
848,5.5715,10.8223,9.6125,10.5732,5.5575,6.6028,5.6928,10.6714,5.5681,9.3088
849,5.5679,5.9122,5.6095,5.5662,5.5707,10.5024,6.9486,6.0423,5.6855,5.5705
850,9.211599,5.9873,10.4594,5.5829,9.116199,5.5696,9.1615,7.4119,9.8893,5.5643
851,5.5719,10.8586,5.55,9.433801,5.564,5.5748,5.55,8.6771,5.9383,9.545501
852,5.5689,5.5662,5.5765,5.562,7.9053,10.9311,5.5791,6.7601,7.1909,5.5705
853,8.914801,10.3105,11.0482,5.5837,9.237101,5.5811,10.4089,9.3521,8.984,10.3709
854,5.797,18.1813,6.7192,9.6279,5.5848,5.6498,6.5606,5.5605,5.7615,5.5721
855,6.9923,5.5733,10.1122,5.5846,11.3222,9.5739,8.932899,5.5689,6.7142,5.5661
856,8.8472,10.1253,6.0136,5.5589,5.9721,5.5823,5.5635,10.4198,9.6984,10.2256
857,5.5785,12.2248,6.6845,10.0332,6.0788,10.1626,5.5665,5.5658,6.3141,5.5608
858,5.55,5.7041,10.5222,5.5737,10.0505,5.5785,10.8435,5.747,21.5486,6.2925
859,10.7848,10.578,6.3543,5.8731,6.4598,5.55,5.5592,9.009899,5.5702,9.852799
860,5.9337,5.5697,9.279901,9.4586,10.3992,9.5195,5.5608,5.5905,9.0934,5.9081
861,9.7655,5.5841,6.3137,5.5758,5.55,5.6037,9.3884,5.55,8.2415,7.1413
862,5.5686,10.0191,5.5849,5.5726,6.2177,6.5178,5.5957,10.4858,9.9225,8.562301
863,5.5648,5.893,10.7705,9.4938,9.9325,9.211,5.55,5.562,5.5997,5.5816
864,9.7509,10.7638,6.1773,5.5739,5.5685,5.5709,11.194,10.9851,11.5827,10.2645
865,5.5571,5.5926,6.4272,16.7652,5.5846,5.55,5.5728,5.5846,5.55,5.7345
866,5.5902,5.55,9.4733,5.5676,9.9903,10.4979,10.6929,5.55,6.3008,6.8148
867,9.6376,9.5253,5.5803,9.606,6.2547,5.5618,5.5878,10.0125,9.4689,10.6429
868,5.5559,6.0403,10.2547,5.9601,10.9102,5.5698,5.85,5.5638,5.5714,5.562
869,5.5643,6.1079,5.9331,6.0555,5.55,9.699201,9.3834,5.5582,9.8069,10.4219
870,10.0814,10.8033,5.5743,11.0949,5.55,6.1802,6.0723,10.2679,5.575,6.0471
871,5.5639,5.5587,10.5644,5.5794,10.0224,9.3815,5.5788,5.5611,5.55,5.5647
872,5.5694,10.8777,5.577,10.4627,5.5729,5.5568,9.9012,10.4465,8.927,10.0504
873,9.0802,5.5669,5.564,5.562,5.7392,5.5745,6.56,5.5756,5.5652,5.5761
874,5.5645,5.7199,10.8935,5.5725,10.1443,9.6715,8.9519,5.55,5.5675,5.55
875,5.55,10.7847,5.5667,9.8858,18.4896,5.5618,5.8105,9.647901,9.5441,10.5386
876,9.566401,6.3562,16.708,5.5737,5.5832,5.7572,5.5834,5.55,5.55,5.5636
877,6.0698,5.5739,5.6223,5.572,9.6979,10.2202,10.5883,6.0908,5.5669,5.5754
878,5.77,10.458,9.273399,9.882999,10.0755,5.55,5.5614,9.7319,9.9841,10.4876
879,10.1801,5.5629,5.5776,5.5822,5.7203,5.593,5.5696,5.5607,5.5721,5.5872
880,5.5712,10.9167,5.8603,5.5588,10.6535,9.0015,9.621099,5.5825,5.5846,10.2415
881,9.5997,6.1363,11.2342,9.4407,6.4897,5.5809,5.55,10.0829,10.5723,5.5768
882,6.1061,5.5777,6.1968,5.5734,9.741401,5.55,5.5671,5.5596,6.7206,5.55
883,5.5648,11.3017,10.7233,17.3649,5.5754,9.0849,9.2751,5.5686,10.4167,9.6532
884,22.6177,6.0344,5.56,5.5728,5.5576,5.5804,5.55,10.1873,5.5772,5.5859
885,5.5587,10.2354,5.5809,9.146,10.3011,5.5579,6.1289,5.578,5.55,5.55
886,8.696099,5.5611,10.2614,5.558,5.5738,8.8978,8.8229,9.8861,9.2626,9.5221
887,8.4486,5.6042,5.55,5.5604,5.55,5.5609,6.0835,5.5628,6.1838,5.5772
888,11.1542,10.2662,5.8197,10.5858,10.6327,5.5617,5.5806,5.7912,5.5859,5.55
889,5.5859,6.0448,9.127399,5.5601,5.7317,9.5435,10.0001,9.800699,11.4916,10.0233
890,9.9017,5.577,5.5594,5.5762,5.5748,5.5732,5.55,5.5745,5.6574,5.5676
891,6.2174,10.066,5.566,8.7827,11.3046,5.562,16.8,5.55,9.7563,5.5878
892,9.5768,5.5654,10.2663,5.5853,5.9524,9.118899,5.6045,9.061999,5.5659,10.1909
893,5.9235,10.3237,6.1861,5.55,10.5811,5.5709,7.9736,5.55,5.5648,5.55
894,5.5683,5.7679,11.0687,8.8112,6.158,5.55,5.5607,5.9881,9.7598,10.9126
895,10.0795,5.5894,5.55,5.7793,5.5687,8.8237,5.6047,9.6265,5.5738,5.5738
896,5.5694,9.745899,5.5647,6.8191,10.4863,5.5665,9.2131,5.5642,5.55,5.563
897,5.5603,5.55,9.5928,9.002501,5.7771,6.7033,6.2724,5.5678,9.5091,9.7015
898,9.779799,5.5746,5.5638,5.6744,11.2507,9.6418,5.5714,9.0067,5.5804,5.5665
899,5.5631,10.3675,5.8282,10.1568,5.5588,6.1211,9.8237,5.5677,5.5562,5.5691
900,5.5805,6.0131,9.6319,5.5812,5.5919,9.9291,5.5613,5.5772,9.455899,10.7304
901,9.476001,6.4895,5.5587,5.6079,10.0663,5.5707,5.5623,9.2201,5.95,5.8193
902,5.5693,10.3822,5.5787,8.9608,5.5792,5.977,9.3374,5.582,5.9486,5.5866
903,5.9053,5.5659,10.6676,5.5692,5.9507,9.8209,5.5572,5.5569,9.980499,9.9407
904,10.0606,10.2983,5.5773,5.5711,10.2688,5.5788,5.5988,9.6939,5.9875,5.5698
905,5.5698,5.5721,9.904401,9.744901,5.5685,5.5588,8.641899,6.2791,10.4966,17.0932
906,9.8031,5.5583,5.565,5.5785,11.0133,9.289801,5.5662,9.6619,5.8047,5.5879
907,5.5654,9.1953,5.55,5.55,5.5608,5.5633,5.5908,5.5701,6.9648,10.463
908,5.5591,5.55,10.5224,9.122,5.5774,5.5762,8.756,5.55,9.2558,5.5599
909,8.5748,5.5638,5.5699,5.5772,17.2096,9.203099,5.55,9.933499,5.55,5.5709
910,5.7989,10.1019,5.5871,5.5693,5.5731,5.5832,5.5798,5.7815,5.5757,11.2401
911,5.5679,5.5665,9.6127,9.78,9.3153,5.5603,9.9601,6.0634,10.1966,5.5662
912,9.594899,5.6328,5.848,5.568,6.9811,9.023601,5.5653,10.0861,5.5796,9.8452
